niche,region,top_keywords,top_tags,vocab,examples_json
deportes,ES,accesorios entrenamiento futbol|ejercicios entrenamiento futbol|ejercicios movilidad de cadera|recuperacion de puntos|ejercicios de movilidad de cadera|curso recuperacion puntos|entrenamiento fisico futbol|curso de recuperacion de puntos|curso recuperacion de puntos|recuperacion datos|recuperacion muscular|plan de recuperacion|recuperacion puntos carnet|pantalon entrenamiento futbol|recuperacion de datos|herramienta de recuperacion de chromebook|protesis de rodilla operacion y recuperacion|eliminar particion de recuperacion|alfombra entrenamiento futbol|recuperacion bitlocker|recuperacion de puntos dgt|kit entrenamiento futbol|material entrenamiento futbol,,accesorios entrenamiento futbol|ejercicios entrenamiento futbol|ejercicios movilidad de cadera|recuperacion de puntos|ejercicios de movilidad de cadera|curso recuperacion puntos|entrenamiento fisico futbol|curso de recuperacion de puntos|curso recuperacion de puntos|recuperacion datos|recuperacion muscular|plan de recuperacion|recuperacion puntos carnet|pantalon entrenamiento futbol|recuperacion de datos|herramienta de recuperacion de chromebook|protesis de rodilla operacion y recuperacion|eliminar particion de recuperacion|alfombra entrenamiento futbol|recuperacion bitlocker|recuperacion de puntos dgt|kit entrenamiento futbol|material entrenamiento futbol,[]
deportes,GL,,ciclismo|running|bicicleta|bike|entrenamiento|bici|bicis|football|gcn es|ூ|bicycle|soccer|gcn|gcn espanol|ղ|gcn en español|road bike|cycling|gcn ciclismo|ஷ|ꖨ|gcn cycling|ꕔ|ꗶ|gcn en espanol|ិ|global cycling network|gcn spanish|correr|gcn español,ciclismo|running|bicicleta|bike|entrenamiento|bici|bicis|football|gcn es|ூ|bicycle|soccer|gcn|gcn espanol|ղ|gcn en español|road bike|cycling|gcn ciclismo|ஷ|ꖨ|gcn cycling|ꕔ|ꗶ|gcn en espanol|ិ|global cycling network|gcn spanish|correr|gcn español,"[{'videoId': '3z4FWiSsHtA', 'title': '10 Reglas de Oro para Empezar a Correr con Sobrepeso', 'views': 19253}, {'videoId': 'kNIIg5MkgJk', 'title': 'Consejo para EMPEZAR a CORRER desde cero #shorts #correr', 'views': 727370}, {'videoId': 'pM-f3NT9tFY', 'title': 'SECRETO PARA HACERTE +FUERTE Y PEDALEAR MÁS RÁPIDO  #ciclismo  #velocidad #entrenamiento', 'views': 18097}, {'videoId': '0X7CTyFTBt8', 'title': 'EMPEZAR a CORRER Después de los 50: 5 Consejos Claves para Hacerlo Hoy', 'views': 34501}, {'videoId': 'HzziOY8zUnc', 'title': '5 ENTRENAMIENTOS DE CICLISMO QUE TODO CICLISTA DEBE HACER', 'views': 15198}, {'videoId': 'QIUVOGkXTQ8', 'title': 'EMPEZAR A CORRER: 💥 10 consejos para RUNNERS principiantes ✔️', 'views': 133259}, {'videoId': '7vt5qbN0ufE', 'title': '🚲ESTE MÉTODO TE HACE MÁS FUERTE A LARGO PLAZO  #ciclismo #entrenamiento #polarizado', 'views': 13773}, {'videoId': 'AJJA1_bTFAY', 'title': 'PARA SER UN BUEN ESCALADOR NO BASTA CON ENTRENAR PORTENCIA #ciclismo #escalada #entrenamiento', 'views': 24424}, {'videoId': '9IUjfGu-SKw', 'title': 'elige las mejores ZAPATILLAS para CORRER 🩰 thesaiyankiwi', 'views': 34502}, {'videoId': 'RyT9-E9Ld7A', 'title': '▶ CÓMO EMPEZAR A CORRER 🏃  FUNCIONA!!! ✔️', 'views': 988413}]"
deportes,MX,ejercicios de movilidad de cadera|entrenamiento de futbol|recuperacion de|ejercicios movilidad de cadera|kit de entrenamiento futbol|herramienta de recuperacion de chrome|recuperacion de cuenta free fire|recuperacion de acuses sat|casas de recuperacion infonavit|recuperacion de una cesarea|calentador de rapida recuperacion|goku capsula de recuperacion|sistema de recuperacion de certificados sat|recuperacion certificados|recuperacion de certificados|recuperacion certificados sat|recuperacion de certificados sat|sat recuperacion de certificados|entrenamiento de futbol para niños|recuperacion de cuenta|recuperacion de contraseña|recuperacion de certificado|recuperacion de cuenta de google|recuperacion de cuenta google|recuperacion de datos,,ejercicios de movilidad de cadera|entrenamiento de futbol|recuperacion de|ejercicios movilidad de cadera|kit de entrenamiento futbol|herramienta de recuperacion de chrome|recuperacion de cuenta free fire|recuperacion de acuses sat|casas de recuperacion infonavit|recuperacion de una cesarea|calentador de rapida recuperacion|goku capsula de recuperacion|sistema de recuperacion de certificados sat|recuperacion certificados|recuperacion de certificados|recuperacion certificados sat|recuperacion de certificados sat|sat recuperacion de certificados|entrenamiento de futbol para niños|recuperacion de cuenta|recuperacion de contraseña|recuperacion de certificado|recuperacion de cuenta de google|recuperacion de cuenta google|recuperacion de datos,[]
deportes,US,recuperacion de cuenta|running shoes|pronta recuperacion|recuperacion en ingles|recuperacion de cuenta free fire|goku en recuperacion|recuperacion de certificados|liposuccion recuperacion|goku en la camara de recuperacion|recuperacion de datos|recuperacion de cuenta gmail|recuperacion de cuenta de google|pronta recuperacion en ingles|recuperacion de certificados sat,,recuperacion de cuenta|running shoes|pronta recuperacion|recuperacion en ingles|recuperacion de cuenta free fire|goku en recuperacion|recuperacion de certificados|liposuccion recuperacion|goku en la camara de recuperacion|recuperacion de datos|recuperacion de cuenta gmail|recuperacion de cuenta de google|pronta recuperacion en ingles|recuperacion de certificados sat,[]
desarrollo_web,ES,astro|what is a pwa|pwa builder|css|css|css tailwind|html|html|pwa app|pwa windsurf|html css|html css|pwa windsurf|pwa group|pwa app|tailwind css|tailwind css cdn|outlook pwa|html color|html online|outlook pwa|tailwind badges|validador css|codigo html|color html|html code|justify content css|codigo html|html online|glass effect css,,astro|what is a pwa|pwa builder|css|css tailwind|html|pwa app|pwa windsurf|html css|pwa group|tailwind css|tailwind css cdn|outlook pwa|html color|html online|tailwind badges|validador css|codigo html|color html|html code|justify content css|glass effect css,[]
desarrollo_web,MX,css|css|css html|css tailwind|html|html css|pwa app|html|html css|pwa app|tailwind css|codigo html|html web|html web|codigo html|html color|tailwind merge|html color|html colores|what is a pwa|pwa zoom|pwa service worker|tailwind components free|tailwind pokemon|tailwind border radius|font weight tailwind|colores html|tailwind css documentation|me perdonas html|line height tailwind,,css|css html|css tailwind|html|html css|pwa app|tailwind css|codigo html|html web|html color|tailwind merge|html colores|what is a pwa|pwa zoom|pwa service worker|tailwind components free|tailwind pokemon|tailwind border radius|font weight tailwind|colores html|tailwind css documentation|me perdonas html|line height tailwind,[]
desarrollo_web,US,css|html|html code|html css|pwa app|pwa app|html|html css|css|html code|css profile|what is pwa|tailwind css|tailwind css|what is pwa|what is html|what is html|html file|pwa outlook|html file|outlook pwa|tc app pwa|what is css|zoom for chrome pwa|html image|pwa vs hsa|html image|sos pwa|css code|html color,,css|html|html code|html css|pwa app|css profile|what is pwa|tailwind css|what is html|html file|pwa outlook|outlook pwa|tc app pwa|what is css|zoom for chrome pwa|html image|pwa vs hsa|sos pwa|css code|html color,[]
devops_sre,ES,prometheus logs|hades 2 prometheus|amazon aws|aws terraform|dashboard grafana|install ansible|ansible modules|aws|alien prometheus|ansible dry run|kibana vs grafana|prometheus logo|playbook ansible|gitlab grafana|prometheus adapter|prometheus|prometheus grafana|frankenstein or the modern prometheus|ansible command|ansible doc|ansible windows|terraform documentation|hcp terraform|american prometheus|prometheus punishment|aws cloud|aws s3|grafana datasources|ansible inventory|kiro aws,,prometheus logs|hades 2 prometheus|amazon aws|aws terraform|dashboard grafana|install ansible|ansible modules|aws|alien prometheus|ansible dry run|kibana vs grafana|prometheus logo|playbook ansible|gitlab grafana|prometheus adapter|prometheus|prometheus grafana|frankenstein or the modern prometheus|ansible command|ansible doc|ansible windows|terraform documentation|hcp terraform|american prometheus|prometheus punishment|aws cloud|aws s3|grafana datasources|ansible inventory|kiro aws,[]
devops_sre,MX,ansible playbook|aws|aws amazon|grafana dashboard|terraform aws|aws cloud|prometheus|aws s3|red hat ansible automation platform|aws cli|ec2 aws|prometheus arrow|patrick wilson prometheus|aws lambda|grafana loki|prometheus libro anatomia|aws free tier account|terraform providers|prometheus arrowverse|prometheus rising|prometheus hades 2|kiro aws|terraform aws s3 bucket|prometheus rotten tomatoes|grafana enterprise|azure|terraform cloud|prometheus online latino|install ansible ubuntu|terraform apply,,ansible playbook|aws|aws amazon|grafana dashboard|terraform aws|aws cloud|prometheus|aws s3|red hat ansible automation platform|aws cli|ec2 aws|prometheus arrow|patrick wilson prometheus|aws lambda|grafana loki|prometheus libro anatomia|aws free tier account|terraform providers|prometheus arrowverse|prometheus rising|prometheus hades 2|kiro aws|terraform aws s3 bucket|prometheus rotten tomatoes|grafana enterprise|azure|terraform cloud|prometheus online latino|install ansible ubuntu|terraform apply,[]
devops_sre,US,ansible playbook|aws terraform|grafana dashboard|what is aws|ansible file|prometheus grafana|what is ansible|ansible install|aws cloud|what is grafana|ansible automation|aws amazon|aws|aws s3|aws agentcore|ansible when|prometheus|ansible command|terraform provider|ansible windows|grafana loki|prometheus movie|what is prometheus|grafana cloud|what is terraform|amazon aws layoffs employees|ansible inventory|aws lambda|ansible automation platform|grafana alloy,,ansible playbook|aws terraform|grafana dashboard|what is aws|ansible file|prometheus grafana|what is ansible|ansible install|aws cloud|what is grafana|ansible automation|aws amazon|aws|aws s3|aws agentcore|ansible when|prometheus|ansible command|terraform provider|ansible windows|grafana loki|prometheus movie|what is prometheus|grafana cloud|what is terraform|amazon aws layoffs employees|ansible inventory|aws lambda|ansible automation platform|grafana alloy,[]
ecommerce,ES,cross selling significado|cross selling y up selling|logistica y transporte|shopify app|empresa logistica|primera linea logistica|shopify chatgpt|shopify store|late checkout|shopify iniciar sesión|shopify stock|shopify españa|empresa de logistica|shopify checkout|stripe checkout|dadi logistica|pujol logistica|square online checkout|planes shopify|looper logistica|prestashop checkout|samsung checkout|gestion logistica|trabajo logistica|empresas de logistica|instant checkout|plataforma logistica|curso logistica|trek checkout|instant checkout chatgpt,,cross selling significado|cross selling y up selling|logistica y transporte|shopify app|empresa logistica|primera linea logistica|shopify chatgpt|shopify store|late checkout|shopify iniciar sesión|shopify stock|shopify españa|empresa de logistica|shopify checkout|stripe checkout|dadi logistica|pujol logistica|square online checkout|planes shopify|looper logistica|prestashop checkout|samsung checkout|gestion logistica|trabajo logistica|empresas de logistica|instant checkout|plataforma logistica|curso logistica|trek checkout|instant checkout chatgpt,[]
ecommerce,MX,what is ab testing|up selling y cross selling|shopify app|transporte y logistica|sinco logistica|burst by shopify|shopify supply|cedis mas bodega y logistica|upselling en español|dia de la logistica|hatchful by shopify|eta significado logistica|shopify discount|logistica y cadena de valor|licenciatura en logistica y transporte|fwd logistica|license checkout timed out autocad|stripe checkout|checkout mercado pago|empresa de logistica|shopify partners|logistica internacional|shopify api|ingenieria logistica|shopify logo|shopify stock|samsung checkout|ingenieria en logistica|que significa logistica|self checkout,,what is ab testing|up selling y cross selling|shopify app|transporte y logistica|sinco logistica|burst by shopify|shopify supply|cedis mas bodega y logistica|upselling en español|dia de la logistica|hatchful by shopify|eta significado logistica|shopify discount|logistica y cadena de valor|licenciatura en logistica y transporte|fwd logistica|license checkout timed out autocad|stripe checkout|checkout mercado pago|empresa de logistica|shopify partners|logistica internacional|shopify api|ingenieria logistica|shopify logo|shopify stock|samsung checkout|ingenieria en logistica|que significa logistica|self checkout,[]
ecommerce,US,conversion rate optimization services|self checkout|what is ab testing|what is cross selling|what is upselling|shopify store|conversion rate optimization company|conversion rate optimization tools|my shopify|what is conversion rate optimization|upselling meaning|what is cross selling in banking|shopify app|what is shopify|shopify stock|difference between upselling and cross selling|ab testing tools comparison|ecommerce conversion rate optimization|shopify website|udacity ab testing|aldia logistica|walmart checkout|shein price increase at checkout|best ab testing tools|ab testing means|play grocery store checkout|landing page ab testing|define upselling|what time is checkout at hampton inn|checkout advocate target,,conversion rate optimization services|self checkout|what is ab testing|what is cross selling|what is upselling|shopify store|conversion rate optimization company|conversion rate optimization tools|my shopify|what is conversion rate optimization|upselling meaning|what is cross selling in banking|shopify app|what is shopify|shopify stock|difference between upselling and cross selling|ab testing tools comparison|ecommerce conversion rate optimization|shopify website|udacity ab testing|aldia logistica|walmart checkout|shein price increase at checkout|best ab testing tools|ab testing means|play grocery store checkout|landing page ab testing|define upselling|what time is checkout at hampton inn|checkout advocate target,[]
educacion,GL,,ingles basico|ingles para principiantes|curso de ingles|aprender ingles|ciencia|aprende ingles|clases de ingles|ingles|como aprender ingles|como aprender ingles rapido y facil|frases en ingles|ingles facil|palabras en ingles|aprender ingles rapido|física|kale anders|raio|ingles americano|clase de ingles|cursos de ingles|aprender ingles escuchando|educativo|curiosidades|ingles desde cero|youtube kids|smile and learn|curso de ingles completo|fisica|física cuántica|matemáticas,ingles basico|ingles para principiantes|curso de ingles|aprender ingles|ciencia|aprende ingles|clases de ingles|ingles|como aprender ingles|como aprender ingles rapido y facil|frases en ingles|ingles facil|palabras en ingles|aprender ingles rapido|física|kale anders|raio|ingles americano|clase de ingles|cursos de ingles|aprender ingles escuchando|educativo|curiosidades|ingles desde cero|youtube kids|smile and learn|curso de ingles completo|fisica|física cuántica|matemáticas,"[{'videoId': 'HCEW9A4As0I', 'title': 'La primera ley de Newton', 'views': 1247510}, {'videoId': 'WqIRIP_cZbU', 'title': 'Mecánica Clásica VS Relatividad General', 'views': 439477}, {'videoId': '3fUwwYNl5lA', 'title': '¿QUÉ ES la FÍSICA CUÁNTICA? 🌌', 'views': 253077}, {'videoId': 'yUmErYuNiBc', 'title': 'No digas I want para pedir algo en inglés ❌', 'views': 1001190}, {'videoId': '64_KyFIvQjA', 'title': 'COMANDOS ESENCIALES EN INGLÉS PARA PRINCIPIANTES/NIVEL INTERMEDIO/AVANZADO', 'views': 269099}, {'videoId': 'BUgNFva9B2A', 'title': 'HOY SÍ que VAS A ENTENDER la TEORÍA DE CUERDAS 🌌', 'views': 614575}, {'videoId': 'jpXi8_3NO1s', 'title': 'HOY SÍ que VAS A ENTENDER el ESPACIO-TIEMPO 🌌', 'views': 605941}, {'videoId': 'eV70U2Ykjxs', 'title': 'La FÍSICA CUÁNTICA es EXTRAÑA 📚', 'views': 256175}, {'videoId': '8cnzdYk-b8E', 'title': 'Lo Alucinante de la Física Cuántica: Explicado en 1 Minuto', 'views': 1996591}, {'videoId': 'DkW_7gUxu1A', 'title': 'Relatividad General Espacio curvo', 'views': 665417}]"
educacion_estudio,ES,mapas mentales ia|memoria ram|tougen anki|ram|tengen anki|hacer mapas mentales|mikado tougen anki|anki karteikarten|tough anki|anki overdrive|tougen anki personajes femeninos|anki add ons|italki|tarjeta memoria|tougen anki legend of the cursed blood|ia de mapas mentales|mapas mentales online|tarjeta de memoria|aplicaciones para hacer mapas mentales|touguen anki|memoria gustativa|miro mapas mentales|generador de mapas mentales|la persistencia de la memoria de salvador dalí|crear mapas mentales con ia|la flecha oposiciones|rc oposiciones|scs oposiciones|mapas mentales con ia|ia para mapas mentales,,mapas mentales ia|memoria ram|tougen anki|ram|tengen anki|hacer mapas mentales|mikado tougen anki|anki karteikarten|tough anki|anki overdrive|tougen anki personajes femeninos|anki add ons|italki|tarjeta memoria|tougen anki legend of the cursed blood|ia de mapas mentales|mapas mentales online|tarjeta de memoria|aplicaciones para hacer mapas mentales|touguen anki|memoria gustativa|miro mapas mentales|generador de mapas mentales|la persistencia de la memoria de salvador dalí|crear mapas mentales con ia|la flecha oposiciones|rc oposiciones|scs oposiciones|mapas mentales con ia|ia para mapas mentales,[]
educacion_estudio,MX,curso lectura rapida|la memoria|mapas mentales de|tougen|tougen anki|lectura rapida para niños|test de lectura rapida|curso de lectura rapida|tecnicas de lectura rapida|memoria ram|ram|anki add ons|plantillas para mapas mentales en word|tounge anki|tougen. anki|tougen anki ep. 13|como se hacen los mapas mentales|mapas mentales en linea|tougen anki characters|tougen anki female characters|cursos de lectura rapida|tougen anki wiki|tōgen anki|touge anki|el agradecimiento es la memoria del corazón|tony buzan mapas mentales|memoria sd 256 gb|app para hacer mapas mentales|mary anki|generador de mapas mentales,,curso lectura rapida|la memoria|mapas mentales de|tougen|tougen anki|lectura rapida para niños|test de lectura rapida|curso de lectura rapida|tecnicas de lectura rapida|memoria ram|ram|anki add ons|plantillas para mapas mentales en word|tounge anki|tougen. anki|tougen anki ep. 13|como se hacen los mapas mentales|mapas mentales en linea|tougen anki characters|tougen anki female characters|cursos de lectura rapida|tougen anki wiki|tōgen anki|touge anki|el agradecimiento es la memoria del corazón|tony buzan mapas mentales|memoria sd 256 gb|app para hacer mapas mentales|mary anki|generador de mapas mentales,[]
educacion_estudio,US,anki tougen|creador de mapas mentales|en memoria de|tougen|haciendo memoria|memoria press|ley de memoria democrática|memoria ram|ley memoria democratica|pastillas para la memoria adultos|tougen anki fanservice|tougen anki chapter 38|tougen anki fan service|tougen anki episode 14|memoria usb walmart|tougen anki nurse|tougen anki mary|hoya memoria|mary aki|tougen anki author|mary anki|memoria fotografica|tougen anki doctor|memoria 2021|ley de memoria democrática bisnietos|lincoln memoria|ley de memoria democratica|haciendo memoria letra|haciendo memoria peso pluma|memoria usb,,anki tougen|creador de mapas mentales|en memoria de|tougen|haciendo memoria|memoria press|ley de memoria democrática|memoria ram|ley memoria democratica|pastillas para la memoria adultos|tougen anki fanservice|tougen anki chapter 38|tougen anki fan service|tougen anki episode 14|memoria usb walmart|tougen anki nurse|tougen anki mary|hoya memoria|mary aki|tougen anki author|mary anki|memoria fotografica|tougen anki doctor|memoria 2021|ley de memoria democrática bisnietos|lincoln memoria|ley de memoria democratica|haciendo memoria letra|haciendo memoria peso pluma|memoria usb,[]
emprendimiento_startups,ES,churn rate meaning|churn rate|fondos mrr|tasa de crecimiento natural|the arr|churn meaning|tasa de crecimiento anual|tasa de crecimiento real|churn en español|pitch deck meaning|mrr marketing|what is arr|what is churn|arr meaning|tasa de crecimiento fórmula|mrr meaning|arr suite|churn traduccion|arr stock|arroba|churn meaning in business|msq arr,,churn rate meaning|churn rate|fondos mrr|tasa de crecimiento natural|the arr|churn meaning|tasa de crecimiento anual|tasa de crecimiento real|churn en español|pitch deck meaning|mrr marketing|what is arr|what is churn|arr meaning|tasa de crecimiento fórmula|mrr meaning|arr suite|churn traduccion|arr stock|arroba|churn meaning in business|msq arr,[]
emprendimiento_startups,MX,arroba|churn rate|tasa de crecimiento anual|tasa de crecimiento poblacional|tasa de crecimiento del pib|formula tasa de crecimiento|formula de tasa de crecimiento|what is churn|churn meaning|arr que rico|arr stack|mrr meaning|churn significado|tasa de crecimiento fórmula|arr meaning|what is arr|churn meaning in business|churn vector,,arroba|churn rate|tasa de crecimiento anual|tasa de crecimiento poblacional|tasa de crecimiento del pib|formula tasa de crecimiento|formula de tasa de crecimiento|what is churn|churn meaning|arr que rico|arr stack|mrr meaning|churn significado|tasa de crecimiento fórmula|arr meaning|what is arr|churn meaning in business|churn vector,[]
emprendimiento_startups,US,the churn|what arr|what is cap table|what is mrr|what is pitch deck|what is product led growth|churn butter|pitch deck template|what is a pitch deck|best pitch deck|what is a cap table|ai pitch deck|mrr meaning|what is churn|mrrebates|mantle cap table|churn ice cream|churn rate|airbnb pitch deck pdf|mrr wheels|churn meaning|slides|customer churn|what is arr|pitch deck design agency|arr|investor pitch deck|startup pitch deck|pitch deck template ppt free download|churn creek,,the churn|what arr|what is cap table|what is mrr|what is pitch deck|what is product led growth|churn butter|pitch deck template|what is a pitch deck|best pitch deck|what is a cap table|ai pitch deck|mrr meaning|what is churn|mrrebates|mantle cap table|churn ice cream|churn rate|airbnb pitch deck pdf|mrr wheels|churn meaning|slides|customer churn|what is arr|pitch deck design agency|arr|investor pitch deck|startup pitch deck|pitch deck template ppt free download|churn creek,[]
entretenimiento,GL,,trailer|2025|series recomendadas|movie|mejores series|max estrenos|mejores series 2025|top 10 series|series buenas|series netflix|series para maratonear|new movie trailers 2025|series prime video|series emocionantes|series desde el primer episodio|series imperdibles|series populares|faridieck|farid dieck|qué ver en netflix|series atrapantes|series hbo max|series adictivas|qué ver en prime video|qué ver en max|contenido de calidad|series que enganchan|primeras temporadas impactantes|kinocheck|series de moda,trailer|2025|series recomendadas|movie|mejores series|max estrenos|mejores series 2025|top 10 series|series buenas|series netflix|series para maratonear|new movie trailers 2025|series prime video|series emocionantes|series desde el primer episodio|series imperdibles|series populares|faridieck|farid dieck|qué ver en netflix|series atrapantes|series hbo max|series adictivas|qué ver en prime video|qué ver en max|contenido de calidad|series que enganchan|primeras temporadas impactantes|kinocheck|series de moda,"[{'videoId': 'J92O_QvtiWY', 'title': 'ROCKY I - El Temach analizando películas - El TemachVlog CAP56', 'views': 75426}, {'videoId': 'YejGD5OeOBc', 'title': 'Avatar y el fenómeno de las películas sobrevaloradas', 'views': 38557}, {'videoId': 'TUL7bNtFh08', 'title': 'ANALIZANDO LA LA LAND - El TemachVlog CAP42', 'views': 112117}, {'videoId': 'jsljGbjjLR4', 'title': 'Toy Story - El Temach Analizando películas - El TemachVlog CAP55', 'views': 70816}, {'videoId': '9mf1fEJjEjk', 'title': 'ANALIZANDO FORREST GUMP - El TemachVlog CAP44', 'views': 377322}, {'videoId': 'jjWmseIN41g', 'title': 'La mejor serie de la década y la más infravalorada - SEVERANCE', 'views': 536141}, {'videoId': 'hz-hw7ggGuA', 'title': 'Nunca te has preguntado? Hasta el último hombre#peliculas #reseña #analisis', 'views': 60117}, {'videoId': 'rmv5DGI1CnU', 'title': '🎃 Películas y Series Recomendadas para ver en OCTUBRE 2025 🎬🍿', 'views': 19667}, {'videoId': 'z1wzjgHG-Yk', 'title': 'MOTHER es una PELÍCULA DEMASIADO CRUEL', 'views': 316495}, {'videoId': 'RqoQiFwhE6Y', 'title': 'Nunca notaste esto del diseño del xenomorpho', 'views': 1070542}]"
finanzas,GL,,finanzas personales|finanzas|libertad financiera|educación financiera|dinero|educacion financiera|inversiones|invertir en bolsa|invertir|ingresos pasivos|como invertir|criptomonedas|ahorro|acciones|como invertir mi dinero|invertir en acciones|bolsa de valores|bolsa|ganar dinero|independencia financiera|luis mi negocios|como invertir en bolsa|luisminegocios|inversión|rico|millonario|adn financiero|bitcoin hoy|emprender|educacion financiera para principiantes,finanzas personales|finanzas|libertad financiera|educación financiera|dinero|educacion financiera|inversiones|invertir en bolsa|invertir|ingresos pasivos|como invertir|criptomonedas|ahorro|acciones|como invertir mi dinero|invertir en acciones|bolsa de valores|bolsa|ganar dinero|independencia financiera|luis mi negocios|como invertir en bolsa|luisminegocios|inversión|rico|millonario|adn financiero|bitcoin hoy|emprender|educacion financiera para principiantes,"[{'videoId': '-364nG0ORQ4', 'title': '📈 Criptomonedas 2025: Lo que rara vez se explica de forma simple 🚀', 'views': 10447}, {'videoId': 'ATYa0nc8y3A', 'title': 'La Educación Financiera 🧠 #Ahorro #BolsaDeValores #Dinero #Inversión #Inversiones #Invertir', 'views': 758274}, {'videoId': '9bt_SfGpxn4', 'title': '💥 El REINICIO Financiero YA COMENZÓ 🚨 Así Afectará a Bitcoin y XRP', 'views': 25042}, {'videoId': 'Y2RXV9m-cYY', 'title': 'Curso Bolsa de Valores GRATIS - Introducción a la Bolsa', 'views': 68338}, {'videoId': '3JfOq7wNHuU', 'title': 'Reversion Cripto A La Vuelta De La Esquina | Analisis Bitcoin Y Criptomonedas', 'views': 11063}, {'videoId': 'Y9KfRrP-Lvo', 'title': 'La Mejor Manera De Administrar Tu Dinero 💵 #Dinero #Finanzas #FinanzasPersonales #Invertir', 'views': 512348}, {'videoId': 'XPX2-Ckqqs0', 'title': '¿CREES QUE BITCOIN CAERÁ? mira estos datos', 'views': 10057}, {'videoId': '_iVGyxnViFE', 'title': '3 libros que si o si tenes que leer sobre educación financiera📚💲 #finanzaspersonales #libros', 'views': 122818}, {'videoId': 'RxqrQGzITt4', 'title': 'MEGA CRASH en BITCOIN y las CRIPTOS  | ANÁLISIS de BITCOIN y CRIPTOS en VIVO', 'views': 13952}, {'videoId': '645vKsNfGg4', 'title': 'Qué HARÁ BITCOIN HOY 09/10/25 | Análisis técnico y Fundamental Esteban Pérez', 'views': 11696}]"
finanzas_personales,ES,calculadora interes compuesto|cuenta ahorro|inflacion españa|seguridad social|deudas seguridad social|aeat|deudas aeat|deudas hacienda|hacienda|cuenta de ahorro|diferencia entre ipc e inflacion|pagar deudas|consulta deudas|consultar deudas|ahorro total|agencia tributaria|como generar ingresos pasivos|inflacion en españa|prestamos para reunificar deudas|ahorro total vallecas|inflacion definicion|generar ingresos pasivos|a2 finance interes compuesto|cash ahorro córdoba|ahorro total alicante|ahorro total murcia|cobro deudas|ahorro total parla|modo ahorro bateria iphone|modo ahorro bateria,,calculadora interes compuesto|cuenta ahorro|inflacion españa|seguridad social|deudas seguridad social|aeat|deudas aeat|deudas hacienda|hacienda|cuenta de ahorro|diferencia entre ipc e inflacion|pagar deudas|consulta deudas|consultar deudas|ahorro total|agencia tributaria|como generar ingresos pasivos|inflacion en españa|prestamos para reunificar deudas|ahorro total vallecas|inflacion definicion|generar ingresos pasivos|a2 finance interes compuesto|cash ahorro córdoba|ahorro total alicante|ahorro total murcia|cobro deudas|ahorro total parla|modo ahorro bateria iphone|modo ahorro bateria,[]
finanzas_personales,MX,calculadora interes compuesto|del ahorro|mi score crediticio|pagar deudas|que son ingresos pasivos|farmacia|la inflacion|farmacia ahorro|del ahorro farmacia|farmacia del ahorro|calculadora de interes compuesto|interes compuesto formula|inflacion anual|objetivo de ahorro app|objetivo de ahorro|consulta de deudas|ayuda del gobierno para pagar deudas|meta de ahorro app|causas de la inflacion|las deudas se heredan|score crediticio rangos|donde invertir con interes compuesto|simulador de interes compuesto|condusef|ver mi score crediticio|que son las deudas|formula de interes compuesto|farmacias ahorro|farmacias|farmacias del ahorro,,calculadora interes compuesto|del ahorro|mi score crediticio|pagar deudas|que son ingresos pasivos|farmacia|la inflacion|farmacia ahorro|del ahorro farmacia|farmacia del ahorro|calculadora de interes compuesto|interes compuesto formula|inflacion anual|objetivo de ahorro app|objetivo de ahorro|consulta de deudas|ayuda del gobierno para pagar deudas|meta de ahorro app|causas de la inflacion|las deudas se heredan|score crediticio rangos|donde invertir con interes compuesto|simulador de interes compuesto|condusef|ver mi score crediticio|que son las deudas|formula de interes compuesto|farmacias ahorro|farmacias|farmacias del ahorro,[]
finanzas_personales,US,como ver mi score crediticio|calculo de interes compuesto|calculadora interes compuesto|consolidar deudas|el ahorro|que son ingresos pasivos|ahorro farmacia|cuenta de ahorro|calculadora de interes compuesto|consolidacion de deudas|alivio de deudas|objetivo de ahorro app|farmacias del ahorro|cheque de inflacion|farmacias del ahorro nuevo laredo|argentina inflacion|deudas en ingles|el ahorro weekly ad houston|objetivo de ahorro|meta de ahorro|inflacion en colombia ultimos 10 años|oración para atraer dinero y pagar deudas|calculador de interes compuesto|prestamos para consolidar deudas|sura fondo de ahorro|sbs deudas|diferencia entre cuenta corriente y cuenta de ahorro|como funciona el interes compuesto|limpia deudas|inflacion colombia,,como ver mi score crediticio|calculo de interes compuesto|calculadora interes compuesto|consolidar deudas|el ahorro|que son ingresos pasivos|ahorro farmacia|cuenta de ahorro|calculadora de interes compuesto|consolidacion de deudas|alivio de deudas|objetivo de ahorro app|farmacias del ahorro|cheque de inflacion|farmacias del ahorro nuevo laredo|argentina inflacion|deudas en ingles|el ahorro weekly ad houston|objetivo de ahorro|meta de ahorro|inflacion en colombia ultimos 10 años|oración para atraer dinero y pagar deudas|calculador de interes compuesto|prestamos para consolidar deudas|sura fondo de ahorro|sbs deudas|diferencia entre cuenta corriente y cuenta de ahorro|como funciona el interes compuesto|limpia deudas|inflacion colombia,[]
